Theorist,openalex_id,note
Alexis de Tocqueville,NA,NA
Anthony Giddens,NA,NA
C. Wright Mills,NA,NA
Dorothy E. Smith,NA,NA
Emile Durkheim,NA,NA
Erving Goffman,NA,NA
Georg Simmel,NA,NA
George C. Homans,NA,NA
George Herbert Mead,NA,NA
Immanuel Wallerstein,NA,NA
James S. Coleman,NA,NA
Jeffrey C. Alexander,NA,NA
Jürgen Habermas,NA,NA
Karl Marx,NA,NA
Kimberlé Crenshaw,NA,NA
Max Weber,NA,NA
Michel Foucault,NA,NA
Norbert Elias,NA,NA
Patricia Hill Collins,NA,NA
Peter M. Blau,NA,NA
Pierre Bourdieu,NA,NA
Randall Collins,NA,NA
Robert K. Merton,NA,NA
Talcott Parsons,NA,NA
W.E.B. Du Bois,NA,NA
