Theorist,n_curated_sources,curated_sources
Alexis de Tocqueville,2,calhoun-classical; ritzer
Anthony Giddens,2,calhoun-contemporary; ritzer
C. Wright Mills,2,calhoun-contemporary; ritzer
Dorothy E. Smith,2,calhoun-contemporary; ritzer
Emile Durkheim,2,calhoun-classical; ritzer
Erving Goffman,2,calhoun-contemporary; ritzer
Georg Simmel,2,calhoun-classical; ritzer
George C. Homans,2,calhoun-classical; ritzer
George Herbert Mead,2,calhoun-classical; ritzer
Immanuel Wallerstein,2,calhoun-contemporary; ritzer
James S. Coleman,2,calhoun-contemporary; ritzer
Jeffrey C. Alexander,2,calhoun-contemporary; ritzer
Jürgen Habermas,2,calhoun-contemporary; ritzer
Karl Marx,2,calhoun-classical; ritzer
Kimberlé Crenshaw,2,calhoun-contemporary; ritzer
Max Weber,2,calhoun-classical; ritzer
Michel Foucault,2,calhoun-contemporary; ritzer
Norbert Elias,2,calhoun-contemporary; ritzer
Patricia Hill Collins,2,calhoun-contemporary; ritzer
Peter M. Blau,2,calhoun-classical; ritzer
Pierre Bourdieu,2,calhoun-contemporary; ritzer
Randall Collins,2,calhoun-contemporary; ritzer
Robert K. Merton,2,calhoun-classical; ritzer
Talcott Parsons,2,calhoun-classical; ritzer
W.E.B. Du Bois,2,calhoun-classical; ritzer
